id,stop_name,stop_id,line_number,mode_type
f43a3283-32b2-427c-b4eb-80fc95884fcc,Hastings St @ Holdom Ave ,51849,R5,bus
eb963ee2-39a1-4217-9144-a059df4c264a,Hastings St @ Kensington Ave,51851,R5,bus
fe117f6a-b04f-4c0b-9684-af07416d2fae,Hastings St @ Duthie Ave,51856,R5,bus
7db0f1fb-3de8-4270-aac2-0c2ff1b93b96,SFU Transportation Centre @ Bay 2,52806,R5,bus
12be68c4-78c2-4082-b2fb-dbd330a3eca2,SFU Transit Exchange @ Bay 2,53096,R5,bus
,,,,
f860d36a-1309-454e-a4e2-cce847a2561e,Lougheed Hwy @ Boundary Loop,52092,99,bus
bec9b4f9-d36c-4f6c-bd5c-ebb8501d25a0,E Broadway @ Rupert St,50904,99,bus
ff708248-26d4-4498-96ee-677f5af8025d,E Broadway @ Renfrew St,50907,99,bus
51f1014a-227e-460a-a76f-6482f66bf2d9,E Broadway @ Penticton St,50909,99,bus
281250b8-cca5-41bf-862d-7b007146af45,E Broadway @ Nanaimo St,50682,99,bus
9f1b6266-5dcc-45f8-a0a9-e9274783307f,Commercial-Broadway Station @ Bay 5,50913,99,bus
06d6ca0a-bea1-4964-ace1-29768271c6f0,E Broadway @ Clark Dr,50916,99,bus
8101c54e-2bc6-416a-abe1-83456f50eac2,E Broadway @ Fraser St,58613,99,bus
d0a7381d-12f1-4642-ad98-f6b225a0eca6,E Broadway @ Scotia St,50850,99,bus
125767d8-78b1-4407-ab61-030071d8e5fe,E Broadway @ Quebec,60579,99,bus
9b31c883-afc7-4f07-bc3e-24f95c870303,Broadway-City Hall Station @ Bay 4,58501,99,bus
9b6e35c1-8cf3-4a68-8903-92fb159f4e55,W Broadway @ Willow St,50926,99,bus
abc722aa-72d6-4c50-9a3d-bb7486d814e2,W Broadway @ Granville St,50540,99,bus
841f99b7-dc90-4cab-9d95-f36474379722,W Broadway @ Arbutus St,61453,99,bus
daa61b86-ebcb-47f1-aecb-909feb464ceb,W Broadway @ Macdonald St,52095,99,bus
a485ad0d-05d2-4811-a1e1-41812f41676e,Alma St @ W 10 Ave,50357,99,bus
e1e257b9-91ac-4ce4-a7bc-9ca6ffb95ae0,W Broadway @ Alma St,58037,99,bus
cc942c72-fe10-4d38-9d49-435b3775d786,W 10 Ave @ Sasamat St,58023,99,bus
0962a2e5-17aa-4831-9074-0a0cf4832544,University Blvd @ Blanca St,50601,99,bus
27967760-2840-49c1-8ed0-7f23e8c2a870,University Blvd @ 5100 Block,50602,99,bus
0e096fbd-d6f9-42c4-b843-ac7c4d9b6bab,University Blvd @ 5300 Blocki,50603,99,bus
5be701a5-8732-48c4-9dd2-4dbf3c0c38fd,University Blvd @ Acadia Rd,50604,99,bus
e6c4b68b-74c0-4e3f-8c05-a09e61f0b231,University Blvd @ Western Parkway,60219,99,bus
3b5bb732-df4a-44ba-a4f2-3fbc8fce5bce,UBC Exchange @ Unloading Only,60358,99,bus
